Algoritmo,Imagen,Tiempo
CUDA V2, image_1000_3_7.png,10034
CUDA CPU V2, image_1000_3_7.png,8644
CUDA CPU,image_1000_3_8.png,12758
CPU,image_1000_3_8.png,26188
CUDA, image_1000_3_8.png,14465
CUDA V2, image_1000_3_8.png,10453
CUDA CPU V2, image_1000_3_8.png,8851
CUDA CPU,image_1000_3_9.png,14021
CPU,image_1000_3_9.png,26457
CUDA, image_1000_3_9.png,14343
CUDA V2, image_1000_3_9.png,9912
CUDA CPU V2, image_1000_3_9.png,8456
CUDA CPU,image_1000_6_0.png,13972
CPU,image_1000_6_0.png,31490
CUDA, image_1000_6_0.png,14443
CUDA V2, image_1000_6_0.png,10818
CUDA CPU V2, image_1000_6_0.png,9320
CUDA CPU,image_1000_6_1.png,15444
CPU,image_1000_6_1.png,31737
CUDA, image_1000_6_1.png,15385
CUDA V2, image_1000_6_1.png,10312
CUDA CPU V2, image_1000_6_1.png,10211
CUDA CPU,image_1000_6_2.png,12747
CPU,image_1000_6_2.png,31816
CUDA, image_1000_6_2.png,14542
CUDA V2, image_1000_6_2.png,11114
CUDA CPU V2, image_1000_6_2.png,9602
CUDA CPU,image_1000_6_3.png,12798
CPU,image_1000_6_3.png,31710
CUDA, image_1000_6_3.png,14934
CUDA V2, image_1000_6_3.png,10575
CUDA CPU V2, image_1000_6_3.png,9354
CUDA CPU,image_1000_6_4.png,14735
CPU,image_1000_6_4.png,32846
CUDA, image_1000_6_4.png,14681
CUDA V2, image_1000_6_4.png,10464
CUDA CPU V2, image_1000_6_4.png,9523
CUDA CPU,image_1000_6_5.png,14316
CPU,image_1000_6_5.png,31546
CUDA, image_1000_6_5.png,16213
CUDA V2, image_1000_6_5.png,10945
CUDA CPU V2, image_1000_6_5.png,9893
CUDA CPU,image_1000_6_6.png,14817
CPU,image_1000_6_6.png,36267
CUDA, image_1000_6_6.png,16912
CUDA V2, image_1000_6_6.png,10876
CUDA CPU V2, image_1000_6_6.png,9406
CUDA CPU,image_1000_6_7.png,14420
CPU,image_1000_6_7.png,31833
CUDA, image_1000_6_7.png,16151
CUDA V2, image_1000_6_7.png,10713
CUDA CPU V2, image_1000_6_7.png,9196
CUDA CPU,image_1000_6_8.png,16202
CPU,image_1000_6_8.png,31884
CUDA, image_1000_6_8.png,15585
CUDA V2, image_1000_6_8.png,11912
CUDA CPU V2, image_1000_6_8.png,9746
CUDA CPU,image_1000_6_9.png,13686
CPU,image_1000_6_9.png,35628
CUDA, image_1000_6_9.png,15020
CUDA V2, image_1000_6_9.png,10962
CUDA CPU V2, image_1000_6_9.png,9611
CUDA CPU,image_1000_9_0.png,14949
CPU,image_1000_9_0.png,37927
CUDA, image_1000_9_0.png,17331
CUDA V2, image_1000_9_0.png,11944
CUDA CPU V2, image_1000_9_0.png,10329
CUDA CPU,image_1000_9_1.png,18068
CPU,image_1000_9_1.png,37501
CUDA, image_1000_9_1.png,16739
CUDA V2, image_1000_9_1.png,11272
CUDA CPU V2, image_1000_9_1.png,10589
CUDA CPU,image_1000_9_2.png,14966
CPU,image_1000_9_2.png,37787
CUDA, image_1000_9_2.png,16141
CUDA V2, image_1000_9_2.png,11688
CUDA CPU V2, image_1000_9_2.png,10428
CUDA CPU,image_1000_9_3.png,14764
CPU,image_1000_9_3.png,40268
CUDA, image_1000_9_3.png,16259
CUDA V2, image_1000_9_3.png,11459
CUDA CPU V2, image_1000_9_3.png,10069
CUDA CPU,image_1000_9_4.png,15398
CPU,image_1000_9_4.png,37199
CUDA, image_1000_9_4.png,17680
CUDA V2, image_1000_9_4.png,11437
CUDA CPU V2, image_1000_9_4.png,10286
CUDA CPU,image_1000_9_5.png,17325
CPU,image_1000_9_5.png,40454
CUDA, image_1000_9_5.png,16822
CUDA V2, image_1000_9_5.png,12340
CUDA CPU V2, image_1000_9_5.png,10185
CUDA CPU,image_1000_9_6.png,15440
CPU,image_1000_9_6.png,37113
CUDA, image_1000_9_6.png,16606
CUDA V2, image_1000_9_6.png,11528
CUDA CPU V2, image_1000_9_6.png,9941
CUDA CPU,image_1000_9_7.png,15637
CPU,image_1000_9_7.png,40934
CUDA, image_1000_9_7.png,16818
CUDA V2, image_1000_9_7.png,11689
CUDA CPU V2, image_1000_9_7.png,10038
CUDA CPU,image_1000_9_8.png,17391
CPU,image_1000_9_8.png,37507
CUDA, image_1000_9_8.png,16652
CUDA V2, image_1000_9_8.png,12054
CUDA CPU V2, image_1000_9_8.png,10202
CUDA CPU,image_1000_9_9.png,14344
CPU,image_1000_9_9.png,39024
CUDA, image_1000_9_9.png,16433
CUDA V2, image_1000_9_9.png,11343
CUDA CPU V2, image_1000_9_9.png,10348
CUDA CPU,image_100_0_0.png,1828
CPU,image_100_0_0.png,294
CUDA, image_100_0_0.png,1937
CUDA V2, image_100_0_0.png,1706
CUDA CPU V2, image_100_0_0.png,1500
CUDA CPU,image_100_0_1.png,1944
CPU,image_100_0_1.png,299
CUDA, image_100_0_1.png,2999
CUDA V2, image_100_0_1.png,1563
CUDA CPU V2, image_100_0_1.png,1726
